incident_description,primary_cause
"This morning as employee was entering through company gate they were waiting for the gate to fully open before they go through with their car. A fellow employee riding his motorcycle decides he cant wait (John Denison) and speeds around them through the gate passing them with his overly loud Harley and almost hit their car. Employee was scared with the noise and didn't know where it came from right away. Glad they didn't pull the steering wheel either way he could have killed him. We had safety talks in meetings about not rushing through the company gates or pigging back through to keep the gate open all the time, but most don't care for others safety and personal lives. This is on company camera and this person should get time off without pay for doing something stupid and could have caused an accident to employee or injury to himself",-NEGLIGENCE
FSR was out conducting a service call and was chased by a pit bull but you was able to make back to work truck.  ,-NEGLIGENCE
When entering the chlorine feed room the air vent fan shorted out blowing the electric on that side of booster. Breakers to the feed room are off. The fan in question is the fan used to pull air through room in case of chlorine off-gassing.,-ELECTRICAL-NEGLIGENCE
Excavation was encountered by one of our local operators and some other field technicians.  One of our contractors were working in an unsafe excavation that needed immediate action to use proper shoring techniques.  Our guys had told the contractor to get out of the hole and proper trench boxes were installed.  Contractor was also extensively warned and now has implemented corrective action plan to ensure future safety of excavations.,-TRENCHING-NEGLIGENCE
"While an employee was repairing a leak on 6500 MacCorkle Ave. in Jefferson, The employee noticed that the equipment operator nicked a 2"" low pressure Plastic gas line while pulling concrete out of the leak hole. The Gas company located the line before excavation begun, but they mis-located it by approximately 1 ft. After striking Gas line the Crew Leader call Miss Utility and the 1-800 # for Mountaineer gas to report that the line had been damaged. Due to the sinkhole created by the leak, the concrete had fell down on top of the gas line. The local fire department arrived and made sure the scene was secured until gas company arrived.  Local supervision was advised in this situation. No injuries occurred. The gas company arrived and repaired the leak and the excavation continued to repair leak.",-POOR_JUDGMENT-NEGLIGENCE
"An employee reported a contractor removed thrust blocking from the back side of their 8"" Main. They stopped work and shut the main down until new concrete could be poured onto the fitting, preventing it from pushing off.",-NEGLIGENCE
"Crew was cutting pipe to replace 16"" valve at Woodland Tank in Pleasantville around 5:00pm on 1/12/16. Upon removing the piece of pipe that was cut out, the 16"" valve began to move/shift and hole was beginning to fill. Crew Lead instructed crewmembers to get out of the hole. Crew then started operating valves to see where the pressure was coming from and found a 12"" valve that was passing. ",-NEGLIGENCE
"Utility locates called in > 48hrs AEP phone and cable locator cleared WV811 ticket on line. Visual inspection of job site found fiber pedestal. Stopped job called supervisor he checked ticket confirmed all clear then recalled locator. Crew began digging with caution. After Excavation began AEP locator showed up and marked Fiber line 2'6"" in front of meter box. Locator said they have multiple users and someone may have cleared ticket besides him.",-NEGLIGENCE
"While inspecting the Lift Station pumps, we noticed that the ""tie-off"" points had become rusted.  If we were to use these points as fall protection, the rusted areas may have weakend the integrity of the unit and caused it to fail.",-FALL-POOR_JUDGMENT-NEGLIGENCE
"Was using 1'' air line from air compressor mounted on utility truck, when the end connection that connects to the jackhammer blew off and sent the air line whipping around, a co worker quickly shut down the air , no injuries or damage was done.",-NEGLIGENCE
"Maintenance person, was walking by the ammonia feed room when he observed a pungent ammonia odor in the hallway.  He looked through the ammonia room window and saw a small puddle of liquid ammonia under the feed pump.  He leapt into action and notified other employees in the plant.  Dan was then joined by Matt Baldarelli, plant operator, and after putting on PPE, they entered the feed room to investigate.  Ammonia was leaking from the feed line near ceiling.  They isolated this line and then switched to the spare feed line and verified ammonia was feeding properly.  After notifying their supervisor, and allowing the fumes in the room to dissipate, the spill was then cleaned up. ",-CHEMICAL
Employee found large meter vault lid left open at treatment plant.  This could have resulted in serious injury if someone had step in while left open.  Employee closed lid.,-POOR_JUDGMENT-NEGLIGENCE
While sitting in the local office on 2/19/16 at 2:41 pm I heard a loud crash in work area behind my desk.  When I turned around the drop ceiling including the 4 foot fluorescent light had collapsed.  Nobody was in the area of the time of this incident and nobody was injured.  The wind was blowing about 40 miles per hour that day and when the warehouse garage door was opened it allowed air up into the attic area of the warehouse open ceiling causing the ceiling to collapsed.,-NEGLIGENCE
